#separator:tab
#html:false
AB	Abażur
AC	Placek
AD	Adidas
AE	Ameba
AF	Kalafior
AG	Agrest
AH	Dach
AI	Anioł
AJ	Ajerkoniak
AK	Mak
AL	Alchemik
AŁ	Pała
AM	Amor
AN	Ananas
AO	Makaron
AP	Aparat
AR	Armata
AS	Astronom
AT	Kat
AU	Audi
AW	Paw
AZ	Arbuz
BA	Bakłażan
BC	Bocian
BD	Buda
BE	Bęben
BF	Befsztyk
BG	Bigos
BH	Blacha
BI	Biedronka
BJ	Bajgiel
BK	Byk
BL	Balon
BŁ	Bałwan
BM	Bomba
BN	Banan
BO	Boa
BP	Bapka
BR	Burak
BS	Bas
BT	But
BU	Butla
BW	Bawół
BZ	Beza
CA	Car
CB	Cebula
CD	Czarodziej
CE	Cesarz
CF	Cafe Latte
CG	Czołg
CH	Chleb
CI	Ciastko
CJ	Czajnik
CK	Cekin
CL	Chili
CŁ	Czułno
CM	Ćma
CN	Cynamon
CO	Kokos
CP	Czapka
CR	Cerata
CS	Czaszka
CT	Cytryna
CU	Cukier
CW	Cewka
CZ	Czekolada
DA	Broda
DB	Dzban
DC	Doniczka
DE	Dętka
DF	Delfin
DG	Dźwig
DH	Duch
DI	Dzik
DJ	Dojarka
DK	Drukarka
DL	Dolar
DŁ	Długopis
DM	Dom
DN	Dinozaur, Dynia
DO	Domino
DP	Dupa
DR	Drabina
DS	Deska
DT	Drut
DU	Dukat
DW	Dywan
DZ	Drzwi
EA	Ekran
EB	Żebro
EC	Leczo
EF	Elf
EK	Ekierka
EP	Lep
ER	Laser
ET	Etui
EU	Euro Neuron
EZ	Leżak
FA	Faks
FB	Farba
FC	Filc
FD	Flądra
FE	Feniks/Fender
FG	Figa
FH	Fartuch
FI	Fifka
FJ	Fajka
FK	Foka
FL	Flakon
FM	Flamaster
FN	Finka
FR	Frak
FT	Futro Frytka
GA	Garbus
GB	Gołąb
GC	Gacie
GD	Migdał
GE	Gęś
GF	Gofry
GI	Gil
GJ	Grejfrut Gajer
GK	Grek
GL	Glina
GŁ	Głowa
GN	Gniazdo
GP	Gupik
GR	Gruszka
GS	Gaśnica
GT	Gitara / Getry
GW	Gwóźdź
GZ	Guzik
HA	Halogen Hamak
HB	Herbata
HC	Hiacynt
HF	Harfa
HG	Hulajnoga
HI	Chińczyk
HK	Hak
HL	Holownik
HM	Chomik
HO	Choinka
HP	Hipopotam
HS	Chusta
HT	Hutnik
HW	Chwast
HZ	Huzar Harcerz
IA	Malina
IB	Imbryk
IC	Liczydła
IG	Igła
IK	Ikona
IL	Bilet
IM	Imadło
IO	Iglo
IP	Lipa
IS	Iskra
IW	Kiwi
JA	Jaskółka
JB	Jabłko
JC	Jęczmień
JD	Jądro
JG	Jaguar
JN	Jantar
JO	Jojo
JR	Jaszczurka,  Jubiler
JS	Jaskry, Jasny
JW	Jowisz
JZ	Jeż
KA	Kakao
KB	Kabanos Kebab
KC	Koc
KF	Kefir
KG	Kogut
KL	Klucz
KJ	Kajak
KŁ	Kieł
KM	Kamień
KN	Koń
KO	Kosz
KP	Kapusta
KR	Krowa
KS	Ksiazka
KT	Kot
KW	Kawa
KZ	Koza
LA	Lalka
LB	Lubczyk
LC	Lanca
LD	Lodówka
LE	Leniwiec
LG	Lignina
LK	Lokówka
LM	Lama
LO	Lont
LP	Lampa
LR	Latarka
LS	Laska
LT	Latawiec
LU	Lustro
LW	Lew
LZ	Lizak
ŁA	Łapacz
ŁB	Łabędź
ŁL	Wall-E (Łoli), Łysol
ŁS	Łasica
ŁW	Ławica, Łyzwa
MA	Mamut
MB	Mamba
MC	Maciejka
MD	Medal
MF	Mafioso, Muflon
MG	Mango
MH	Mucha
MJ	Majonez
MK	Mąka
ML	Mleko
MN	Mnich
MP	Mapa
MR	Mors
MS	Masło
MT	Motyka
MU	Mumia
MW	Mrówka
MZ	Mizeria
NA	Narta
NC	Nocnik
NF	Nimfa
NG	Noga
NI	Nitka
NK	Nakrętka
NM	Namiot
NP	Napletek
NR	Nurek
NS	Nosorożec
NT	Notes
NZ	Nóż
OA	Obrączka
OB	Obwarzanki
OC	Owca
OD	Lody
OG	Ogon, Ogórek
OK	Oko
OL	Oliwka
OP	Opona
OR	Orka
OS	Osa
PA	Parawan
PB	Pitbul
PC	Pączek
PD	Pedał
PE	Pępek
PG	Pegaz
PI	Pistolet
PJ	Pajak
PL	Palto
PŁ	Piłka
PN	Pilnik
PR	Parówka
PS	Pszczoła
PT	Patelnia
PW	Powóz
RA	Rakieta
RB	Rabin
RC	Rycerz
RD	Rydz
RF	Renifer
RG	Rogal
RJ	Rój
RK	Rak
RL	Rolnik
RM	Rama
RN	Rydwan
RP	Ropucha
RS	Ryś, Rosół
RT	Ratownik
RU	Rura
RW	Rewolwer
SA	Szalik
SB	Szyba
SC	Serce
SD	Sedes
SF	Szafa
SG	Szogun
SH	Suchar
SJ	Sprej
SK	Sok
SL	Ślimak
SN	Sanki
SO	Sosna
SR	Ser
ST	Strzała
SU	Sum
SW	Sweter
SZ	Szabla
TA	Tatar
TB	Tablica
TC	Teczka
TD	Tandem, Torpeda
TG	Toga
TK	Tokarka
TL	Trol
TM	Tłumik, Taśma
TN	Tunika
TP	Tulipan
TR	Trampki
TS	Tasak Tasiemiec
TW	Telewizor  Twaróg
UA	Urna
UB	Kubek
UC	Uczen
UD	Udo
UF	Ufo
UH	Ucho
UO	Runo
UP	Lupa
UR	Kura
US	Usta
UZ	Mózg
WA	Wagon
WB	Wróbel
WC	Wachlarz
WD	Woda
WE	Wędka
WF	Wafle
WG	Waga
WH	Wahadło
WJ	Wajcha
WL	Walec
WM	Wampir
WN	Wanna
WO	Worek
WR	Wrotki
WS	Wąsy
WT	Wata
WZ	Wazon
ZA	Pizza
ZB	Zaba
ZC	Zacisk, Zacierki
ZD	Zderzak
ZE	Zebra
ZF	Zefir (Stare Papierosy)
ZG	Zegar
ZH	Znachor
ZJ	Zając, Zbój
ZK	Zuk
ZN	Znaczek
ZO	Zombi
ZP	Zapałki
ZR	Ziarno
ED	Led
EG	Cegła
EH	Mech
EI	Pepsi
EJ	Lejek
EL	Żel
EŁ	Orzeł
EM	Emu (Struś)
EN	Enigma
EO	Berło
ES	Eskimos
EW	Zlew
FŁ	Fiołek
FO	Forma
FP	Fortepian
FS	Fasola
FU	Fujarka (Flet)
FW	Faworki
FZ	Fryzjer
GH	Groch
GM	Guma
GO	Goniec
GU	Gumiś
HD	Hydrant
HE	Hebel
HJ	Hokej
HŁ	Chałka
HN	Hiena
HR	Homar
HU	Huba
ID	Indyk
IE	Pies
IF	Kilof
IH	Michałek
IJ	Kij
IŁ	Piłka
IN	Pinezka
IR	Irys
IT	Nit
IU	Miód
IZ	Bizon
JE	Jelcz Jeep
JF	Sejf
JH	Jacht
JI	Jogin
JK	Jajko
JL	Jeleń
JŁ	Jałowiec
JM	Jamnik
JP	Japonki
JT	Jogurt
JU	Jut Juhas
KD	Krokodyl
KE	Keks
KH	Kuchenka
KU	Kukułka
LF	Lufa
LH	Olcha
LI	Liść
LJ	Lajkonik
LŁ	Lodołamacz
LN	Lina
ŁC	Łaciaty Łowca
ŁD	Łodyga
ŁE	Kołek
ŁF	Ławka
ŁG	Ługa
ŁH	Łycha
ŁI	Whisky
ŁJ	Łój
ŁK	Łazik, Łokieć
ŁM	Łom
ŁN	Łania
ŁO	Łosoś
ŁP	Łopian
ŁR	Ładowarka
ŁT	Łata, Łopata
ŁU	Łódka
ŁZ	Łóżko
ME	Mewa
MI	Mig
MŁ	Młynek
MO	Moneta
NB	Nabój
ND	Niedźwiedź
NE	Neon
NH	Nahajka
NJ	Naklejka
NL	Naleśnik
NŁ	Nakłuwacz
NO	Nos
NU	Nuty
NW	Nawóz
OE	Porzeczka
OF	Oficer
OH	Locha
OI	Olimp
OJ	Olej
OŁ	Osioł
OM	Komar
ON	Okno
OT	Płot
OU	Piorun
OW	Sowa
OZ	Ozór, Obraz
PF	Pufa
PH	Pchła
PK	Pika
PM	Pomidor
PO	Por
PU	Pulpet
PZ	Puzon
RE	Rekin
RH	Rohatyniec
RI	Ringo
RŁ	Regał
RO	Rower
RZ	Róża
SE	Sęp
SI	Sikorka
SŁ	Słoń
SM	Smok
SP	Szpilka
TE	Tęcza
TF	Telefon
TH	Technik
TI	Tiara
TJ	Tuja
TŁ	Stół
TO	Torba
TU	Tukan
TZ	Talerz
UE	Kufer
UG	Papuga
UI	Ubijak
UJ	Bujak
UK	Łuk
UL	Ul
UŁ	Ułan
UM	Gumak
UN	Kuna
UT	Lutownica
UW	Suwak
WI	Wiór Wieloryb
WK	Wiking
WŁ	Wół
WP	Wieprz
WU	Wulkan
ZI	Zięba
ZL	Zielony, Ziele Ang
ZŁ	Żółw
ZM	Ziemniak
ZS	Zeszyt
ZT	Złoto
ZU	Żużel
ZW	Zawilec
